driver,driver_number,lap,lap_time,sector1,sector2,sector3,tyre,tyre_life,fresh_tyre,stint,position,pit_in,pit_out,speed_i1,speed_i2,speed_fl,speed_st,is_personal_best
ANT,12,10.0,81.523,21.258,38.634,21.631,HARD,10.0,True,1.0,14.0,,,174.0,178.0,265.0,255.0,False
ANT,12,11.0,79.894,21.213,37.509,21.172,HARD,11.0,True,1.0,14.0,,,181.0,183.0,260.0,278.0,True
ANT,12,12.0,79.788,20.978,37.394,21.416,HARD,12.0,True,1.0,13.0,,,175.0,180.0,269.0,277.0,True
ANT,12,13.0,78.868,20.856,36.97,21.042,HARD,13.0,True,1.0,13.0,,,181.0,184.0,268.0,277.0,True
ANT,12,14.0,79.075,20.941,37.25,20.884,HARD,14.0,True,1.0,13.0,,,185.0,186.0,269.0,276.0,False
ANT,12,15.0,79.858,21.196,37.149,21.513,HARD,15.0,True,1.0,13.0,,,180.0,183.0,269.0,277.0,False
ANT,12,16.0,80.745,21.282,37.63,21.833,HARD,16.0,True,1.0,13.0,,,176.0,179.0,267.0,273.0,False
ANT,12,17.0,81.182,21.379,38.201,21.602,HARD,17.0,True,1.0,13.0,,,178.0,171.0,267.0,275.0,False
ANT,12,18.0,80.136,21.209,37.516,21.411,HARD,18.0,True,1.0,13.0,,,183.0,183.0,262.0,277.0,False
ANT,12,19.0,79.624,21.185,37.413,21.026,HARD,19.0,True,1.0,13.0,,,185.0,183.0,267.0,277.0,False
ANT,12,20.0,78.842,21.039,37.139,20.664,HARD,20.0,True,1.0,13.0,,,177.0,180.0,259.0,277.0,True
ANT,12,21.0,77.914,20.697,36.624,20.593,HARD,21.0,True,1.0,13.0,,,195.0,183.0,259.0,281.0,True
ANT,12,22.0,77.273,20.267,36.522,20.484,HARD,22.0,True,1.0,13.0,,,199.0,185.0,260.0,280.0,True
ANT,12,23.0,76.973,20.207,36.409,20.357,HARD,23.0,True,1.0,13.0,,,197.0,189.0,259.0,280.0,True
ANT,12,24.0,76.939,20.121,36.475,20.343,HARD,24.0,True,1.0,13.0,,,197.0,187.0,259.0,281.0,True
ANT,12,25.0,78.777,20.214,37.279,21.284,HARD,25.0,True,1.0,13.0,,,193.0,184.0,261.0,277.0,False
ANT,12,26.0,79.479,20.996,37.076,21.407,HARD,26.0,True,1.0,13.0,,,191.0,182.0,261.0,280.0,False
ANT,12,27.0,79.446,20.948,37.236,21.262,HARD,27.0,True,1.0,13.0,,,181.0,185.0,261.0,278.0,False
ANT,12,28.0,79.91,21.114,37.371,21.425,HARD,28.0,True,1.0,13.0,,,183.0,177.0,260.0,278.0,False
ANT,12,29.0,79.074,20.758,37.135,21.181,HARD,29.0,True,1.0,13.0,,,182.0,185.0,267.0,279.0,False
ANT,12,30.0,80.406,20.671,38.489,21.246,HARD,30.0,True,1.0,13.0,,,184.0,184.0,268.0,277.0,False
ANT,12,31.0,79.809,20.787,38.307,20.715,HARD,31.0,True,1.0,13.0,,,186.0,182.0,260.0,279.0,False
ANT,12,32.0,79.689,20.573,38.474,20.642,HARD,32.0,True,1.0,13.0,,,189.0,180.0,260.0,279.0,False
ANT,12,33.0,79.344,21.751,36.692,20.901,HARD,33.0,True,1.0,13.0,,,192.0,185.0,259.0,282.0,False
ANT,12,34.0,78.763,20.539,37.141,21.083,HARD,34.0,True,1.0,13.0,,,197.0,184.0,262.0,278.0,False
ANT,12,35.0,79.458,20.79,37.287,21.381,HARD,35.0,True,1.0,13.0,,,194.0,180.0,245.0,279.0,False
ANT,12,36.0,79.869,21.743,37.315,20.811,HARD,36.0,True,1.0,13.0,,,189.0,182.0,263.0,279.0,False
ANT,12,37.0,78.87,20.664,37.192,21.014,HARD,37.0,True,1.0,12.0,,,190.0,185.0,262.0,278.0,False
ANT,12,38.0,78.381,20.42,36.824,21.137,HARD,38.0,True,1.0,12.0,,,197.0,182.0,261.0,283.0,False
ANT,12,39.0,78.721,20.541,37.138,21.042,HARD,39.0,True,1.0,12.0,,,192.0,184.0,263.0,281.0,False
ANT,12,40.0,78.95,20.619,36.977,21.354,HARD,40.0,True,1.0,12.0,,,193.0,182.0,269.0,282.0,False
ANT,12,41.0,78.06,20.508,37.053,20.499,HARD,41.0,True,1.0,12.0,,,193.0,181.0,260.0,282.0,False
ANT,12,42.0,77.12,19.908,36.563,20.649,HARD,42.0,True,1.0,12.0,,,196.0,185.0,261.0,279.0,False
ANT,12,43.0,78.31,20.302,37.134,20.874,HARD,43.0,True,1.0,12.0,,,198.0,184.0,264.0,280.0,False
ANT,12,44.0,78.885,20.499,37.336,21.05,HARD,44.0,True,1.0,12.0,,,197.0,180.0,264.0,283.0,False
ANT,12,45.0,79.251,20.606,37.764,20.881,HARD,45.0,True,1.0,12.0,,,194.0,183.0,267.0,280.0,False
ANT,12,46.0,79.265,20.771,37.538,20.956,HARD,46.0,True,1.0,12.0,,,189.0,184.0,270.0,280.0,False
ANT,12,47.0,80.131,20.815,37.708,21.608,HARD,47.0,True,1.0,12.0,,,192.0,179.0,269.0,280.0,False
ANT,12,48.0,78.844,20.868,37.126,20.85,HARD,48.0,True,1.0,12.0,,,193.0,185.0,260.0,283.0,False
ANT,12,49.0,78.328,20.305,37.143,20.88,HARD,49.0,True,1.0,12.0,,,192.0,182.0,261.0,281.0,False
ANT,12,50.0,79.093,20.512,37.647,20.934,HARD,50.0,True,1.0,12.0,,,199.0,181.0,260.0,282.0,False
ANT,12,51.0,80.341,20.229,37.04,23.072,HARD,51.0,True,1.0,12.0,,,189.0,187.0,219.0,280.0,False
ANT,12,52.0,81.962,20.907,38.99,22.065,HARD,52.0,True,1.0,12.0,,,189.0,177.0,237.0,274.0,False
ANT,12,53.0,79.263,20.832,37.707,20.724,HARD,53.0,True,1.0,12.0,,,197.0,169.0,260.0,278.0,False
ANT,12,54.0,79.603,20.688,38.191,20.724,HARD,54.0,True,1.0,12.0,,,179.0,172.0,258.0,278.0,False
ANT,12,55.0,78.966,20.677,37.527,20.762,HARD,55.0,True,1.0,12.0,,,192.0,177.0,257.0,274.0,False
ANT,12,56.0,78.296,20.473,37.243,20.58,HARD,56.0,True,1.0,12.0,,,207.0,179.0,258.0,278.0,False
ANT,12,57.0,78.511,20.627,37.248,20.636,HARD,57.0,True,1.0,12.0,,,198.0,179.0,258.0,278.0,False
ANT,12,58.0,78.393,20.159,37.398,20.836,HARD,58.0,True,1.0,12.0,,,204.0,179.0,258.0,276.0,False
ANT,12,59.0,79.056,20.727,37.674,20.655,HARD,59.0,True,1.0,12.0,,,202.0,176.0,257.0,273.0,False
ANT,12,60.0,78.697,20.506,37.512,20.679,HARD,60.0,True,1.0,12.0,,,201.0,181.0,258.0,271.0,False
ANT,12,61.0,78.59,20.36,37.429,20.801,HARD,61.0,True,1.0,12.0,,,193.0,174.0,257.0,274.0,False
ANT,12,62.0,78.448,20.225,37.461,20.762,HARD,62.0,True,1.0,12.0,,,196.0,176.0,256.0,276.0,False
ANT,12,63.0,78.884,20.595,37.367,20.922,HARD,63.0,True,1.0,12.0,,,199.0,172.0,258.0,277.0,False
ANT,12,64.0,78.457,20.502,37.262,20.693,HARD,64.0,True,1.0,12.0,,,196.0,180.0,257.0,277.0,False
ANT,12,65.0,77.696,19.753,37.437,20.506,HARD,65.0,True,1.0,12.0,,,203.0,180.0,258.0,276.0,False
ANT,12,66.0,77.398,20.053,37.23,20.115,HARD,66.0,True,1.0,12.0,,,191.0,188.0,258.0,271.0,False
ANT,12,67.0,75.551,19.626,36.005,19.92,HARD,67.0,True,1.0,12.0,,,204.0,191.0,258.0,276.0,True
ANT,12,68.0,75.019,19.471,35.837,19.711,HARD,68.0,True,1.0,12.0,,,211.0,191.0,259.0,276.0,True
ANT,12,69.0,94.121,19.786,36.682,37.653,HARD,69.0,True,1.0,18.0,8915.673,,200.0,183.0,,276.0,False
ANT,12,70.0,79.503,23.648,36.183,19.672,MEDIUM,1.0,True,2.0,18.0,,8940.047,197.0,192.0,260.0,281.0,False
ANT,12,71.0,91.512,19.316,34.86,37.336,MEDIUM,2.0,True,2.0,18.0,9086.292,,214.0,196.0,,282.0,False
ANT,12,72.0,79.009,22.866,35.872,20.271,HARD,1.0,True,3.0,18.0,,9111.023,207.0,191.0,261.0,279.0,False
